date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:36	14295/14295	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://lipeteste.dramanucaceres.com.br/_next/static/chunks/14517-6d322daf571c69da.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/14517-6d322daf571c69daf693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:37	1848/1848	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://lipeteste.dramanucaceres.com.br/_next/static/chunks/app/error-2b220ded0a8b9b67.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/app/error-2b220ded0a8b9b67f693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:37	1534/1534	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://lipeteste.dramanucaceres.com.br/_next/static/chunks/app/not-found-ba8f85a8beca5af0.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/app/not-found-ba8f85a8beca5af0f693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:37	690599/690599	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://lipeteste.dramanucaceres.com.br/_next/static/chunks/18681-08339c427856a9b9.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/18681-08339c427856a9b9f693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:38	185062/185062	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://lipeteste.dramanucaceres.com.br/_next/static/chunks/app/%5B%5B...slug%5D%5D/page-818cfcfa3e083c69.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/app/[[...slug]]/page-818cfcfa3e083c69f693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:38	381454/381454	URF---	200	added ('OK%20(cached)')	image/png		https://cdn.xquiz.co/images/fa6b8a2e-8556-4322-bd9b-541e519b5f16	/home/mcastro/websites/AntiLipedema/cdn.xquiz.co/images/fa6b8a2e-8556-4322-bd9b-541e519b5f16.png	(from https://lipeteste.dramanucaceres.com.br/)
11:51:38	112594/112594	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://lipeteste.dramanucaceres.com.br/_next/static/chunks/polyfills-42372ed130431b0a.js?dpl=dpl_E1DsrdirzPEaXNFBc4c5jY673W5j	/home/mcastro/websites/AntiLipedema/lipeteste.dramanucaceres.com.br/_next/static/chunks/polyfills-42372ed130431b0af693.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:39	16768/16768	UR-MCZ	200	added ('OK')	text/javascript	etag:W/%22f64b1f48563b9741dc93aec2e664fb83%22	https://cdn.utmify.com.br/scripts/utms/latest.js	/home/mcastro/websites/AntiLipedema/cdn.utmify.com.br/scripts/utms/latest.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:39	36756/36756	UR-MCZ	200	added ('OK')	text/javascript	etag:W/%221dbf4a5692b4833e577ccd806f8c9ad6%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	/home/mcastro/websites/AntiLipedema/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://lipeteste.dramanucaceres.com.br/)
11:51:40	189/189	---MCZ	403	error ('Forbidden')	application/xml	date:Mon,%2029%20Sep%202025%2014:51:39%20GMT	https://cdn.xquiz.co/robots.txt		(from https://lipeteste.dramanucaceres.com.br/)
